|M| = 15
make network |V|=2000 |E|=4000
                flare                          flare.re  
t, Accessible, ave_query, ave_time, TABLE_REQ
00 0.8358358358 5.2342342342 0.1317648017 0.00000000
01 0.8718718719 1.9449449449 0.0232519096 0.00000000
02 0.8778778779 1.7227227227 0.0188206813 0.00000000
03 0.8768768769 1.9569569570 0.0235168239 0.00000000
04 0.8838838839 1.7877877878 0.0188225786 0.00000000
05 0.8888888889 1.7687687688 0.0224928648 0.00000000
06 0.8958958959 1.5085085085 0.0136392019 0.00000000
07 0.9029029029 1.4974974975 0.0158044418 0.00000000
08 0.9049049049 1.4804804805 0.0145457378 0.00000000
09 0.9069069069 1.5025025025 0.0185045342 0.00000000
10 0.9159159159 1.3273273273 0.0160422003 0.00000000
11 0.9079079079 1.7577577578 0.0262048722 0.00000000
12 0.9169169169 1.3863863864 0.0165104148 0.00000000
13 0.9179179179 1.7277277277 0.0241231503 0.00000000
14 0.9249249249 1.4674674675 0.0216136991 0.00000000
15 0.9289289289 1.5355355355 0.0191566815 0.00000000
16 0.9319319319 1.5835835836 0.0234209396 0.00000000
17 0.9189189189 1.7117117117 0.0239854966 0.00000000
18 0.9209209209 1.6236236236 0.0203763689 0.00000000
19 0.9199199199 1.6216216216 0.0232659525 0.00000000
20 0.9339339339 1.3373373373 0.0220665178 0.00000000
21 0.9239239239 1.7607607608 0.0468210036 0.00000000
22 0.9239239239 1.3713713714 0.0182343832 0.00000000
23 0.9269269269 1.3573573574 0.0168470408 0.00000000
24 0.9339339339 1.4364364364 0.0227776796 0.00000000
25 0.9389389389 1.2972972973 0.0180170178 0.00000000
26 0.9479479479 1.1171171171 0.0173638819 0.00000000
27 0.9479479479 1.1171171171 0.0183517033 0.00000000
28 0.9469469469 1.0650650651 0.0166301470 0.00000000
29 0.9479479479 1.0700700701 0.0183929664 0.00000000
30 0.9649649650 0.9769769770 0.0262849245 16.33333333
31 0.9589589590 0.9189189189 0.0192062731 10.66666667
32 0.9619619620 0.8398398398 0.0164878910 9.26666667
33 0.9619619620 0.9869869870 0.0234968354 10.86666667
34 0.9649649650 0.7407407407 0.0120243019 8.33333333
35 0.9689689690 1.2202202202 0.0339448252 15.80000000
36 0.9689689690 0.7307307307 0.0101961777 7.33333333
37 0.9689689690 0.7927927928 0.0124249983 8.66666667
38 0.9739739740 0.8898898899 0.0213692573 12.13333333
39 0.9759759760 0.8288288288 0.0182516930 13.53333333
40 0.9739739740 0.7237237237 0.0120808687 8.53333333
41 0.9759759760 0.7207207207 0.0140951541 9.66666667
42 0.9689689690 0.7597597598 0.0113447794 7.80000000
43 0.9709709710 0.8198198198 0.0147055589 9.00000000
44 0.9749749750 0.7127127127 0.0118423176 8.13333333
45 0.9749749750 0.6806806807 0.0091948531 7.60000000
46 0.9759759760 0.7017017017 0.0113190614 8.33333333
47 0.9749749750 0.8128128128 0.0229239118 10.86666667
48 0.9769769770 0.6286286286 0.0084195839 6.73333333
49 0.9749749750 0.6186186186 0.0088687439 6.60000000
50 0.9729729730 0.5955955956 0.0066204890 6.26666667
51 0.9719719720 0.7227227227 0.0117910230 7.46666667
52 0.9719719720 0.6426426426 0.0080969396 7.86666667
53 0.9719719720 0.6876876877 0.0090687905 7.33333333
54 0.9719719720 0.8448448448 0.0137896173 10.00000000
55 0.9679679680 0.7277277277 0.0091011374 7.80000000
56 0.9669669670 0.7527527528 0.0088584850 8.06666667
57 0.9699699700 0.8198198198 0.0161263597 10.00000000
58 0.9709709710 0.7527527528 0.0104689028 8.33333333
59 0.9679679680 0.9129129129 0.0216649364 14.40000000
group member
224 237 246 222 217 239 213 231 216 223 244 241 214 219 215 
|M| = 20
make network |V|=2000 |E|=4000
                flare                          flare.re  
t, Accessible, ave_query, ave_time, TABLE_REQ
00 0.8358358358 5.2342342342 0.1491026797 0.00000000
01 0.8718718719 1.9449449449 0.0253122831 0.00000000
02 0.8778778779 1.7227227227 0.0205145990 0.00000000
03 0.8768768769 1.9569569570 0.0250019559 0.00000000
04 0.8838838839 1.7877877878 0.0209919220 0.00000000
05 0.8888888889 1.7687687688 0.0224653321 0.00000000
06 0.8958958959 1.5085085085 0.0148156849 0.00000000
07 0.9029029029 1.4974974975 0.0168446478 0.00000000
08 0.9049049049 1.4804804805 0.0157378095 0.00000000
09 0.9069069069 1.5025025025 0.0201635380 0.00000000
10 0.9159159159 1.3273273273 0.0175168860 0.00000000
11 0.9079079079 1.7577577578 0.0287862569 0.00000000
12 0.9169169169 1.3863863864 0.0176120038 0.00000000
13 0.9179179179 1.7277277277 0.0258315454 0.00000000
14 0.9249249249 1.4674674675 0.0211343956 0.00000000
15 0.9289289289 1.5355355355 0.0195490333 0.00000000
16 0.9319319319 1.5835835836 0.0240837661 0.00000000
17 0.9189189189 1.7117117117 0.0224047301 0.00000000
18 0.9209209209 1.6236236236 0.0194730441 0.00000000
19 0.9199199199 1.6216216216 0.0228792950 0.00000000
