|M| = 0
make network |V|=2000 |E|=4000
                not_group                          group  
t, Accessible, ave_query, ave_time, TABLE_REQ
00 0.8409204602 5.4392196098 0.0951456139 0.00000000
01 0.7428714357 3.3274137069 0.0372026117 0.00000000
02 0.7343671836 2.2372853093 0.0247019700 0.00000000
03 0.7523761881 1.6529514757 0.0188753476 0.00000000
04 0.7768884442 1.2830415208 0.0157936321 0.00000000
05 0.7598799400 1.0910455228 0.0127171333 0.00000000
06 0.7658829415 0.9276066605 0.0108418984 0.00000000
07 0.7708854427 0.8057153577 0.0096277871 0.00000000
08 0.7803901951 0.7090211773 0.0087579298 0.00000000
09 0.7868934467 0.6343671836 0.0080978234 0.00000000
10 0.8034017009 0.5495020237 0.0075638839 0.00000000
11 0.8114057029 0.5081707520 0.0069279768 0.00000000
12 0.8274137069 0.4585754416 0.0066114659 0.00000000
13 0.8259129565 0.4296791253 0.0061137588 0.00000000
14 0.8279139570 0.3984325496 0.0057276408 0.00000000
15 0.8304152076 0.3715920460 0.0052961837 0.00000000
16 0.8089044522 0.3590618839 0.0050096841 0.00000000
17 0.7883941971 0.3463120449 0.0045435553 0.00000000
18 0.7823911956 0.3268739633 0.0042243709 0.00000000
19 0.8089044522 0.3035017509 0.0042253717 0.00000000
20 0.7908954477 0.2934562519 0.0038562255 0.00000000
21 0.7923961981 0.2796625586 0.0037180489 0.00000000
22 0.7963981991 0.2668725667 0.0035966610 0.00000000
23 0.8049024512 0.2508754377 0.0034961484 0.00000000
24 0.8074037019 0.2382791396 0.0033800906 0.00000000
25 0.8064032016 0.2286912687 0.0032225255 0.00000000
26 0.8054027014 0.2198321383 0.0030869388 0.00000000
27 0.8134067034 0.2101229186 0.0030603834 0.00000000
28 0.8229114557 0.1990132998 0.0029749772 0.00000000
29 0.8279139570 0.1908454227 0.0028858294 0.00000000
30 0.8414207104 0.1821394568 0.0028685813 0.00000000
31 0.8354177089 0.1776513257 0.0028150038 0.00000000
32 0.8314157079 0.1746479300 0.0027175592 0.00000000
33 0.8354177089 0.1685254392 0.0026269184 0.00000000
34 0.8339169585 0.1645108268 0.0025647229 0.00000000
35 0.8359179590 0.1598577066 0.0025407808 0.00000000
36 0.8364182091 0.1551586604 0.0024783621 0.00000000
37 0.8459229615 0.1499170638 0.0024948447 0.00000000
38 0.8364182091 0.1478046716 0.0023857091 0.00000000
39 0.8444222111 0.1427713857 0.0023194053 0.00000000
40 0.8459229615 0.1385082785 0.0022575689 0.00000000
41 0.8519259630 0.1317325329 0.0022505556 0.00000000
42 0.8559279640 0.1294251777 0.0021940372 0.00000000
43 0.8554277139 0.1274046114 0.0021321247 0.00000000
44 0.8549274637 0.1238174643 0.0021032548 0.00000000
45 0.8514257129 0.1216151554 0.0020427713 0.00000000
46 0.8589294647 0.1172926889 0.0020330877 0.00000000
47 0.8604302151 0.1144843255 0.0019630166 0.00000000
48 0.8609304652 0.1118518443 0.0019196611 0.00000000
49 0.8649324662 0.1089244622 0.0018719861 0.00000000
50 0.8684342171 0.1050230998 0.0018909946 0.00000000
51 0.8689344672 0.1033401316 0.0018398934 0.00000000
52 0.8704352176 0.1009183837 0.0017976874 0.00000000
53 0.8669334667 0.0990124692 0.0017560447 0.00000000
54 0.8899449725 0.0934649143 0.0018188594 0.00000000
55 0.8854427214 0.0923050811 0.0017688163 0.00000000
56 0.8854427214 0.0909753122 0.0017424157 0.00000000
57 0.8859429715 0.0894240224 0.0017093621 0.00000000
58 0.8864432216 0.0877981364 0.0016926139 0.00000000
59 0.8829414707 0.0884442221 0.0016403807 0.00000000
access %, disaccess %
0.015565143755796604, 0.07038179714616274
|M| = 5
make network |V|=2000 |E|=4000
                not_group                          group  
t, Accessible, ave_query, ave_time, TABLE_REQ
00 0.8409204602 5.4392196098 0.0952325573 0.00000000
01 0.7428714357 3.3274137069 0.0371463689 0.00000000
02 0.7343671836 2.2372853093 0.0247457893 0.00000000
03 0.7523761881 1.6529514757 0.0188545895 0.00000000
04 0.7768884442 1.2830415208 0.0158514941 0.00000000
05 0.7598799400 1.0910455228 0.0127672249 0.00000000
06 0.7658829415 0.9276066605 0.0108647673 0.00000000
07 0.7708854427 0.8057153577 0.0096389106 0.00000000
08 0.7803901951 0.7090211773 0.0087649972 0.00000000
09 0.7868934467 0.6343671836 0.0081180871 0.00000000
10 0.8034017009 0.5495020237 0.0075850239 0.00000000
11 0.8114057029 0.5081707520 0.0069440174 0.00000000
12 0.8274137069 0.4585754416 0.0066248021 0.00000000
13 0.8259129565 0.4296791253 0.0061142650 0.00000000
14 0.8279139570 0.3984325496 0.0057476921 0.00000000
15 0.8304152076 0.3715920460 0.0053007189 0.00000000
16 0.8089044522 0.3590618839 0.0049079745 0.00000000
17 0.7883941971 0.3463120449 0.0045438240 0.00000000
18 0.7823911956 0.3268739633 0.0042256785 0.00000000
19 0.8089044522 0.3035017509 0.0042354085 0.00000000
20 0.7908954477 0.2934562519 0.0038665721 0.00000000
