#グループを作った際にそれまでの探索で見つけた候補ルートを一度削除してみた
|M| = 0
make network |V|=2000 |E|=4000
                not_group                          group  
t, Accessible, ave_query, ave_time, TABLE_REQ, ave_member_used ave_member_used_M=0
00 0.8394197099 5.3521760880 0.1277397838 0.00000000 0.00000000 0.00000000
01 0.8869434717 2.2551275638 0.0298078303 0.00000000 0.00000000 0.00000000
02 0.8949474737 1.8369184592 0.0200698796 0.00000000 0.00000000 0.00000000
03 0.9069534767 1.7413706853 0.0183151034 0.00000000 0.00000000 0.00000000
04 0.9029514757 1.6488244122 0.0141272254 0.00000000 0.00000000 0.00000000
05 0.9074537269 1.6008004002 0.0142472715 0.00000000 0.00000000 0.00000000
06 0.9114557279 1.5872936468 0.0131528961 0.00000000 0.00000000 0.00000000
07 0.9094547274 1.6368184092 0.0132980179 0.00000000 0.00000000 0.00000000
08 0.9219609805 1.5747873937 0.0167318172 0.00000000 0.00000000 0.00000000
09 0.9249624812 1.4807403702 0.0139875982 0.00000000 0.00000000 0.00000000
10 0.9229614807 1.4837418709 0.0139306159 0.00000000 0.00000000 0.00000000
11 0.9244622311 1.4872436218 0.0128988638 0.00000000 0.00000000 0.00000000
12 0.9289644822 1.4887443722 0.0159028158 0.00000000 0.00000000 0.00000000
13 0.9319659830 1.3071535768 0.0104260862 0.00000000 0.00000000 0.00000000
14 0.9309654827 1.4492246123 0.0140414157 0.00000000 0.00000000 0.00000000
15 0.9319659830 1.4712356178 0.0171745708 0.00000000 0.00000000 0.00000000
16 0.9314657329 1.2921460730 0.0110685120 0.00000000 0.00000000 0.00000000
17 0.9204602301 1.8494247124 0.0261766453 0.00000000 0.00000000 0.00000000
18 0.9299649825 1.4792396198 0.0210515528 0.00000000 0.00000000 0.00000000
19 0.9334667334 1.4242121061 0.0210467098 0.00000000 0.00000000 0.00000000
20 0.9324662331 1.4172086043 0.0176647967 0.00000000 0.00000000 0.00000000
21 0.9364682341 1.6713356678 0.0280285192 0.00000000 0.00000000 0.00000000
22 0.9414707354 1.4572286143 0.0256199095 0.00000000 0.00000000 0.00000000
23 0.9434717359 1.3721860930 0.0240838952 0.00000000 0.00000000 0.00000000
24 0.9454727364 1.3911955978 0.0213619237 0.00000000 0.00000000 0.00000000
25 0.9429714857 1.4402201101 0.0215155726 0.00000000 0.00000000 0.00000000
26 0.9394697349 1.5852926463 0.0228319070 0.00000000 0.00000000 0.00000000
27 0.9424712356 1.4687343672 0.0205315549 0.00000000 0.00000000 0.00000000
28 0.9424712356 1.3916958479 0.0182197365 0.00000000 0.00000000 0.00000000
29 0.9439719860 1.4432216108 0.0222754653 0.00000000 0.00000000 0.00000000
30 0.8034017009 6.0265132566 0.1171377119 0.00000000 0.00000000 0.00000000
31 0.8294147074 2.5682841421 0.0275926999 0.00000000 0.00000000 0.00000000
32 0.8359179590 2.3046523262 0.0227322999 0.00000000 0.00000000 0.00000000
33 0.8389194597 2.1840920460 0.0191005617 0.00000000 0.00000000 0.00000000
34 0.8694347174 2.0475237619 0.0230984670 0.00000000 0.00000000 0.00000000
35 0.8799399700 1.8629314657 0.0177918747 0.00000000 0.00000000 0.00000000
